/start, 0.000, 1
/mouse, 0.482, 348.0, 162.0
/mouse, 0.498, 350.0, 161.0
/mouse, 0.517, 365.0, 158.0
/mouse, 0.532, 401.0, 153.0
/mouse, 0.549, 418.0, 152.0
/mouse, 0.566, 451.0, 152.0
/mouse, 0.582, 465.0, 152.0
/mouse, 0.599, 477.0, 152.0
/mouse, 0.615, 486.0, 152.0
/mouse, 0.632, 495.0, 152.0
/mouse, 0.648, 499.0, 154.0
/mouse, 0.665, 501.0, 154.0
/mouse, 0.833, 501.0, 159.0
/mouse, 0.848, 501.0, 187.0
/mouse, 0.864, 501.0, 220.0
/mouse, 0.881, 501.0, 293.0
/mouse, 0.898, 501.0, 365.0
/mouse, 0.914, 501.0, 389.0
/mouse, 0.931, 501.0, 420.0
/mouse, 0.948, 501.0, 436.0
/mouse, 0.966, 501.0, 440.0
/mouse, 0.982, 501.0, 444.0
/mouse, 1.001, 501.0, 446.0
/mouse, 1.031, 501.0, 447.0
/mouse, 1.048, 501.0, 448.0
/mouse, 1.065, 499.0, 448.0
/mouse, 1.081, 473.0, 448.0
/mouse, 1.099, 452.0, 448.0
/mouse, 1.115, 424.0, 448.0
/mouse, 1.131, 385.0, 443.0
/mouse, 1.150, 322.0, 429.0
/mouse, 1.166, 267.0, 420.0
/mouse, 1.182, 248.0, 418.0
/mouse, 1.199, 232.0, 415.0
/mouse, 1.214, 230.0, 414.0
/mouse, 1.232, 228.0, 413.0
/key, 5.015, 73
